DRN8	DRN0	PRN8	PRN0	DTU	PTU
	RNU4-2	TBC1D3B	LOC100129063		INTS7
	MYO1B	ACER2	NDST2		NEK1
	LOC100133450	SLC2A7	BCL2A1		LOC100130869
	LOC100130098	GAS1	PRAMEF8		CTLA4
	LOC100132858	TCP11L2	LOC645307		MPST
	WDR42A	MIR633	DIRC1		LOC727787
	C21orf124	CDH24	C4orf49		LOC644264
	LOC653326	GPATCH1	SCARNA1		CXorf40B
	LOC650713	LOC648517	OXSM		C17orf71
	TBC1D2B	TDRD5	LRRC58		LOC641955
	SLC19A2	LOC653458	MGC40499		HECTD1
	LOC100129950	ABHD7	CLK2		LOC642196
	LOC399746	PIK3R6	LOC731106		LOC100134256
	SF3B4	KLRA1	WDR82		PXMP3
	LOC400954	EDA2R	LOC400036		LOC100128901
	LOC100134282	SNORA64	NPR2		HAND1
	LOC651031	LOC648657	LOC400299		KCNIP3
	IFNW1	GLA	C9orf75		AHSG
	LEPRE1	SLCO4A1	FLJ37786		LGTN
	TRPT1	AAA1	LOC92497		ZSCAN16
	LY6K	SCAF1	ZNF420		OR4Q3
	CYC1	TUBB4	HIST1H1T		MIR877
	LOC644916	LOC650256	ZBTB7B		LOC100132994
	TAGLN	GAGE2E	ZNF534		ESCO2
	HPS6	CENPC1	MS4A14		LOC387647
	C17orf57	ERCC-00035	RBBP8		LOC647283
	RASGRP4	PHF21B	TUSC1		LOC100128809
	SLC35F4	LOC648626	PHF17		C3orf1
	NUDT19	KRTAP6-3	KIAA0232		SLC38A8
	LOC100133333	JPH4	PPIL5		AYP1p1
	LOC643825	IL4I1	ERCC-00148		LOC643619
	COMMD7	ZFYVE21	SNORD14A		FLJ35785
	CD81	LOC652566	ZNF79		C19orf42
	SNORD59A	HSPG2	EIF2C3		FOXJ3
	LOC728661	PRPH	RMND5B		KRT18P28
	LOC642867	PCDHB8	CNIH2		LOC155100
	LOC100131031	DCN	KCTD15		LOC649201
	C1orf183	HK3	LOC728844		LOC648189
	LOC645203	LOC440550	LOC100133421		LOC728660
	ITPKC	LOC649578	LOC641704		EXOSC9
	NAT8	TRPC6	WDR86		TTC14
	LOC401164	SRRM1L	LOC644738		LOC653310
	CCDC69	CYTH2	TMUB2		LOC100130818
	LOC728677	FLJ37307	TCF2		VPS13D
	CTGLF6	HSD11B1L	LOC100128425		LOC729739
	RPS6KA2	LOC646358	FAM158A		CDKN2BAS
	CELSR3	INSRR	FAM131C		LOC100132553
	LOC646044	CYTH3	FUK		GGPS1
	ALPK2	HTR1A	KRTAP4-5		LOC647103
	ANKRD9	SOX6	NSUN7		ABI3BP
	KCTD9	ZBTB22	OR1L8		PLA1A
	TTC32	FLJ10213	KCNN1		LOC100129070
	IL12RB2	LOC653155	LOC727960		CLEC2D
	ASB1	ACOT8	AK2		CCDC64B
	RNF113B	UGT1A10	LOC391771		LOC642233
	ANXA2P2	LOC100133904	LOC400174		PCDH18
	TSGA10	IRAK4	LOC100134735		THAP4
	LOC441050	PLEKHA8	COL24A1		TMF1
	RAD54L2	OR8K1	LOC286411		DCST1
	SNORD22	ATP1A4	RPS10P3		LOC644057
	MAT1A	CCDC117	CHRDL2		DDIT4L
	LAT1-3TM	OR4A16	LOC653180		LOC646667
	KIAA0141	C21orf100	SPCS3		COL19A1
	GPR27	LOC646331	MIR1280		EFCAB7
	SNORD124	NEK9	REM1		PNRC2
	LOC729770	GIP	LOC732429		RICS
	LOC401087	LOC648220	OSR2		LOC732075
	SLC26A7	SPHKAP	DKFZP686C2281		FAT3
	KIAA0100	LOC643615	TCTN3		LOC653107
	GOLSYN	LOC652679	POP1		LOC644624
	PREP	LOC649661	LRRTM1		TTC39C
	LOC100129206	TWIST1	TBX5		C11orf60
	LOC728792	LOC649200	SIRT5		UBE2E1
	CLEC17A	OR2B2	FLJ25404		IQCF3
	CTAGE1	TYW1	BDKRB2		LOC643224
	LOC729278	LOC340221	MDM2		LOC144776
	CHADL	UCN2	PARD6A		LOC400406
	LOC649775	LOC100132390	LOC651404		CCDC158
	LOC441792	DKFZp761E198	LOC100132529		SNORA57
	ARFGAP2	ASCL4	ZNF205		LOC650651
	LOC729590	ASNA1	CAMK2A		DEPDC6
	DOK3	LOC389267	RNF112		LOC652353
	NAT6	DLK2	TMSB15A		TSSK6
	SULT1C3	LOC100129716	LOC732139		NPAS1
	ITGA3	OR2T34	GRM1		PARP15
	FGD3	LOC652113	TCTEX1D4		FLJ40288
	OR2G2	LOC729231	LOC654433		RTP1
	RBM6	ACR	IGF2BP1		LOC728317
	AP1S1	RPRM	FER1L5		DDX46
	HAUS8	LOC644387	RALGPS1		LILRB3
	GFRAL	ATAD3A	LOC730347		C14orf129
	RNF31	PDCL	FLJ26850		GFM2
	CDH29	DMP1	IL4R		FGF9
	TBX10	LOC100132848	LOC646461		LOC286187
	KRTAP10-8	VLDLR	CYP2F1		TBC1D12
	HCG18	GFOD2	ROBO3		NIN
	LOC100133171	LOC729456	NPEPL1		LOC442211
	BTBD12	LOC649542	LOC390367		DNMT3B
	LOC441864	KIAA0087	IQCK		PPP1R2
	PFKP	IL17F	SULT1B1		CLTC
	LOC727869	PRAMEF14	DIDO1		LOC124216
	TMEM138	LOC100133984	LOC644650		SRM
	UBXN1	LOC648211	LHX6		RDH14
	MIR1302-6	ZMYND8	PRKDC		AATK
	C3orf24	LOC652842	LOC732150		AMPD2
	TAGAP	C1orf64	CUBN		LOC644681
	ERC2	WDFY3	KLHDC5		RPAP3
	VIL2	KCNE2	SOX7		MIR1289-1
	BCAS1	FSHB	LOC653581		ASCC3
	GON4L	LOC390594	TYW1		LOC100133568
	TRABD	LOC100132702	FAM113A		NLGN3
	FLJ35429	SNORA5A	LOC728744		LCE1F
	RNF216	LOC728147	PKP2		NMBR
	FAM131B	PDE6A	LOC651886		OR4F6
	PIP4K2C	OGFOD2	LOC649947		H2AFZ
	KCTD4	BZRPL1	CHCHD5		LOC643580
	LOC650296	MIR744	NSMAF		LOC391004
	LOC644766	SLC3A1	LOC644224		PCDHAC2
	PELI1	ETV3	LOC644656		PIGA
	C13orf25	CDC14B	EFS		CEP290
	TMEM25	C3orf65	SCN3A		LOC388481
	GRAP	NCRNA00113	CGNL1		GPRIN1
	CCDC8	LOC648590	IRF2		LOC728064
	SLCO1C1	BACE1	LOC643733		IMMT
	NPB	LIX1L	MORG1		RABEPK
	KIR2DS3	SNORD111B	CDK5RAP1		FUT3
	VAV2	MIR302C	BST1		ENPP4
	C2orf52	TRIM75	TRIM68		SAMD9
	TSP50	LOC643040	ZNF787		MIR106A
	OR1C1	LOC652644	LOC647008		GABRA2
	MEX3D	IGF2BP1	EVI5L		LOC345643
	KLF5	PPIL4	MRPS15		ZFR2
	HIST1H4I	FAM90A8	LOC284688		CGA
	LOC339192	FATE1	ST7OT2		MAP3K10
	RANGAP1	FLJ35767	LOC100129986		LOC646632
	LOC645558	UPP1	MIR934		LOC652501
	LOC652671	CD63	DOCK3		OR1B1
	IL2RB	LOC100129551	LOC100132020		HS2ST1
	COX11P	ADH5	TMEM217		TCEB3B
	INHA	TTTY6B	WDR25		C6orf54
	DDX55	LOC100131898	DERL2		DNAJC25
	PDGFRB	GOLT1A	LOC152118		RNF20
	CCL27	FHDC1	LOC727775		TTTY7B
	LOC643670	ENPP6	LOC649305		METTL5
	LOC729051	ELMOD2	FAM193B		FLJ40473
	PPP2R2D	RMST	LOC645969		TBC1D3F
	LOC653935	LOC644175	C18orf16		FOXP1
	SCRG1	MEX3D	APOC3		LOC729863
	LOC731000	LOC728830	LOC645000		USP31
	LOC729995	CAMK2A	XAGE2B		KCNK16
	LOC642656	TRIM6-TRIM34	LRRC57		LOC100133095
	VANGL1	FBXL7	PARG		LOC730066
	ATPGD1	LOC100129361	CYP4B1		IGFALS
	ZNF19	LOC728026	LOC653463		GCC2
	LOC652563	ZNF596	FLJ13611		IL1R1
	TMEM115	ZIK1	EML4		LOC652051
	ELOVL5	IL18RAP	LOC642044		LOC648251
	HIPK2	LOC730412	CHMP6		FKBP3
	LRCH3	LOC389633	FICD		FAM120C
	LOC791120	LOC728503	LOC100129890		ABCB10
	LOC646731	FLJ31401	LOC732455		LOC653034
	C5orf38	LOC654023	LOC283547		MRGPRD
	TTTY6	ENPEP	RAB2A		CSTF3
	LOC650656	LZTS1	DNASE2B		OSTC
	SSH3	LOC650677	LOC641931		LOC400836
	AFG3L2	ZNF821	LOC401387		MIR1297
	C10orf128	SSX8	LOC390829		CDCA8
	TMEM83	GPR84	LOC643237		PLA2G3
	SEC16A	PIK3R5	ANKRD2		FLJ22269
	LRP5L	NXPH4	LOC653766		GMFG
	CACNG7	LOC439992	ABI2		LOC440577
	LOC402279	XRCC1	SLC25A22		TRIM32
	TRMU	ZNF444	UGT2B17		COX6BP1
	PTPN13	PGPEP1	LRPPRC		FRRS1
	MGC119295	LOC652887	FLJ90650		TMEM126A
	C13orf33	TMUB2	NEIL2		MPDU1
	RSPH3	LOC645043	KCTD3		EFEMP2
	ZNF530	LOC100133328	IL18RAP		PACRG
	ERMP1	GYLTL1B	AGAP2		BCMO1
	LOC642749	LOC730644	ZNF438		RPP38
	SLC8A2	HLA-DRB1	LOC147646		SH3D19
	REPIN1	HNRNPA1	FAM39DP		LOC400682
	BCKDHA	NXF2	TSTD1		SLC35D1
	SLC7A6OS	MIR548F5	LOC643468		LOC727937
	NSDHL	SCCPDH	C6orf224		GDF5OS
	LOC100132934	MIR892A	LOC650188		MGC4473
	SLFN14	NDUFA10	DUSP15		AGTPBP1
	LOC651075	USP11	ALDOB		STT3B
	BCL7B	LOC649858	MAD2L1BP		FLJ36116
	PIK3R3	FGF1	LOC100128998		SIT1
	LOC100131323	ALOXE3	HMGA1		TCERG1
	LOC731969	NUDT10	TMED1		CCDC122
	BBX	CAMK2N2	CCDC13		NRK
	WBP11P1	LOC729828	NKX1-2		MIR338
	LRRC66	SYP	C21orf41		LOC652670
	C3orf62	NKX2-8	PIN1		C16orf63
	CCDC113	C20orf3	RASSF3		SLC9A4
	LOC645705	LOC651503	LOC100131436		LOC732043
	PIGQ	PCDH8	OR3A3		LOC100132029
	PI4KAP2	IRF6	ATF7IP		KRT9
	LOC653421	NFKBID	JPH4		YTHDC1
	RCP9	MFSD2B	ORAI1		MRPL22
	MIR20B	CCDC46	SKIV2L		CSRNP2
	DNAL1	SNORD34	VAV3		C9orf125
	RBM	LOC727796	TBC1D9B		L2HGDH
	B4GALT3	PKN3	NFE2		SLC17A1
	LOC652743	DPY19L2P2	LOC348926		SNORA24
	XCL2	CGB8	LY96		LGALS8
	FOLR3	LOC728866	LOC100129272		SGCD
	SHH	LOC648981	ZNF219		LOC642355
	EGR1	LOC652805	RBM28		NUF2
	CLDN18	LOC648795	C17orf90		GRIK1
	PCID2	KRTAP20-2	SCARA3		LOC123855
	TSR1	MYO7A	LOC641768		SNRPB2
	C6orf47	LOC652490	LOC647520		LOC642214
	RPRC1	SRPK1	SNORA49		LOC651959
	EPHA4	C1orf220	FLJ32011		PEX13
	ABLIM3	UBTFL2	RAD51C		FAM132A
	LOC346329	LOC729408	C11orf86		MIR2276
	KDR	RXFP1	PPY2		LOC642773
	LOC100133045	SPANXC	C3orf23		LOC644599
	LOC650909	CTRB1	LILRA6		FGFBP1
	CCM2	LOC645172	PROP1		RCBTB2
	THBS3	MEN1	DYRK1B		LOC648829
	DHX35	SPPL3	LEMD2		REP15
	AGMAT	LOC100128007	C2orf49		UBE3B
	C2CD4A	ADRA1B	PCK1		HEATR5B
	C12orf33	MIR548I1	PPFIBP2		LOC340947
	KRTAP10-12	GGN	FGD3		LOC728844
	LOC653257	LOC642165	ERCC-00095		APLN
	TMEM216	LOC647859	ZNF384		FLJ39080
	LOC647349	SAPS3	RWDD2B		C10orf47
	LOC728897	FGF2	LIPI		NXF5
	ERC1	C19orf59	LOC100131192		CCDC90B
	LOC644399	CYB561D2	C21orf125		LOC644863
	CXorf20	LOC729941	GPR171		RWDD1
	TOP1	C19orf23	SLCO1C1		DDIT3
	LOC100129751	NXF5	FLJ32065		LRRC37B
	PPP1R3B	LOC100132496	RPAP1		ACSM1
	PGBD1	RAP2B	DPP6		PRKD1
	HIST1H3G	LOC651515	MRGPRD		GH1
	DES	LOC654206	PGM2		LOC100133398
		NCCRP1	SELS		GYLTL1B
		HCG4P6	PNRC1		FAM8A1
		TREM1	LPAR2		HSPA5
		LOC646476	SMUG1		PARD6B
		C1orf130	TNFRSF14		OR51E2
		LOC648271	OR56A4		MRPL39
		OPHN1	KIAA1045		LOC731396
		ABRA	PLEKHO1		IAPP
		ZNF70	LOC651441		CHTF18
		BID	LOC440341		C21orf66
		MIR548A3	LOC644666		FLJ46358
		MIR301A	DLST		FGF2
		ERCC-00057	CES3		VPS13A
		LOC729956	ORC5L		PNMA6A
		LOC641958	EVPL		CCNY
		SPTA1	DIAPH2		CST11
		YIPF6	STAT6		C11orf30
		LOC100130098	LOC441736		LOC645165
		LOC220429	LOC100133308		MPHOSPH10
		LOC100128619	NXN		WDTC1
		C9orf169	LSP1		SCRG1
		TBC1D3C	LOC653696		MIR635
		LOC646208	NECAB1		TMSB15A
		C5orf35	LOC729227		MIR1299
		SLC25A11	LOC646691		TMEM75
		KCNH3	LOC648874		MIR15A
		KCNIP3	SLC35D2		ARMCX3
		PRRG3	KIAA0888		FLRT3
		TBC1D3H	LOC651923		LOC649891
		C5orf32	LOC653321		MRPS33
		LOC643520	TMPRSS11A		STAG1
		CA9	TBC1D22B		ATP5F1
		LOC643771	BAK1		FLJ44385
		C14orf73	SGTA		LDHB
		WDR55	C17orf63		POP7
		KRT27	RPUSD1		LOC652173
		GDF10	MAGEA5		B3GALT2
		TF	DSE		KDELC2
		LOC652038	ZBTB20		ASCL4
		LOC100130440	SIGLEC6		LOC643718
		FES	SPACA4		GPR82
		LOC441126	TMEM35		SOHLH2
		LOC730020	DYDC2		CRYGS
		LOC645048	LOC642962		RSBN1L
		LZTFL1	SPSB2		CLDN14
		HYAL2	FLJ10213		LOC644916
		LOC100130979	SLC2A4		SLCO2B1
		DNASE2B	C21orf84		TXNDC15
		TMEM62	LOC646448		SNHG10
		LOC100131463	CRELD2		ZC3H12C
		LOC646269	LOC643943		MGA
		PRY	LOC100131965		CALML4
		RAGE	NIPSNAP1		LOC643461
		PLAC8L1	MTX1		TAF1A
		TMEM201	USP6NL		SH2D7
		CACNG1	MIR376A2		ATP6V1D
		PLA2G2C	LOC641772		LOC400036
		C10orf33	PIGU		LOC100134073
		LOC729891	LOC728476		LOC652161
		LOC100132000	LOC401845		LOC100131009
		NARF	RUVBL1		NEK3
		LOC649103	HES7		IKZF2
		TST	KCNC2		DCAF16
		AMOT	LOC100130166		KLHL5
		HIST1H2BF	LOC652644		LOC100134658
		NIT1	LOC642648		C1orf222
		PDZD2	TPSG1		LOC390856
		OR51A2	LOC145820		MMAB
		TRIO	AGBL5		UHRF1BP1
		LOC732455	ASB3		WISP2
		LOC642691	EBF2		HNRPH3
		PDE6D	DHRS13		IL24
		ZC3H10	CLRN3		FAM149B1
		MIR33A	RAP1A		MMP11
		INSC	NFXL1		MYH6
		DGKB	MMP19		STMN4
		SFXN5	KNDC1		MFSD6L
		GPD1	GDPD2		LOC441737
		PARD3B	LOC646680		LOC650276
		RPS28	TIMM13		LOC100131721
		SDF2	SNTB1		LOC644480
		BAZ1B	GAK		USP14
		SLC39A7	TICAM2		LOC644992
		MATN3	NOS2A		LOC728181
		FAM125B	GSDMD		LOC133993
		MGC13098	DISC1		FLJ20489
		NOMO1	SLC25A11		C1orf70
		LOC642595	MSRA		LOC729392
		LOC654010	LOC646817		SRP14P1
		LOC653441	LOC732416		C12orf31
		CDKN2D	TFCP2		CMTM4
		MLL3	LOC100133667		HEXIM2
		ABCF2	OGFOD1		EAPP
		IBSP	C9orf150		UBAP2
		TNFRSF8	BCKDHA		LOC649773
		ST3GAL2	SAP30BP		NDUFS4
		MPP4	C11orf83		KLHL12
		LOC100133744	FLJ20021		FAM86D
		LOC730052	LOC100133889		FAM41C
		CARS2	LOC440059		TOX4
		SCARNA3	TCF25		FKSG83
		LST1	SDC1		LDLRAD2
		LOC400807	LOC441711		TMEM178
		LOC100132911	LOC100129186		FLJ27243
		LOC100127982	LOC651614		RGSL1
		AOAH	CPLX3		UTP14C
		INCA1	ERC2		LOC132203
		LOC100129656	LOC650482		LOC100128382
		LOC653349	STAMBP		ADORA1
		KRT80	PRAMEF10		ZNF776
		KRTAP21-3	TTYH2		LOC646531
		HNRNPA0	HADHA		DMRTC1
		LOC650410	LRP10		SERPINA6
		CD2BP2	EXOSC5		LOC730656
		DNAJC14	LOC100129486		LOC732160
		LOC647417	VPS33B		CYTIP
		FAM75C1	SCAF1		PSG1
		LOC647200	LOC732435		C9orf47
		C17orf67	CCT5		SLK
		DFNB31	COL20A1		LOC647237
		ZNF582	CLP1		TRAF5
		LOC643927	C20orf107		CXorf26
		LOC642639	S100A6		LOC642989
		LOC652652	ST6GALNAC1		TMEM136
		FUT1	MIR92A2		VMO1
		LOC387686	GUCY2G		LOC651450
		NAF1	SLC15A3		OR4S2
		LOC100131460	KCNJ3		LOC257358
		MGC5457	LOC653092		CLCN5
		ZFAND2B	MGC11082		SFRS18
		FCGR1A	CYFIP1		C6orf115
		NLGN3	PLA2G12A		ZKSCAN4
		TP53TG5	PPDPF		LOC100129785
		TCF23	FLJ44881		DONSON
		LOC728677	ALPL		LOC100130141
		LOC497190	LOC643402		BPNT1
		NR2F2	LOC651900		CASKIN2
		NLRP4	SLC2A9		LOC100128374
		ZNF502	HOMER2		SEC11C
		UCP2	LOC647591		KIF24
		GPR153	C8orf44		C20orf12
		CHAT	MIR497		LOC441376
		LOC645442	CHRNE		TMEM174
		VCX-C	LOC648415		KIAA1202
		FMO9P	DNAJC16		PROKR2
		LOC100132856	NF2		PRKCB
		LOC100134796	LOC642621		STAMBPL1
		LOC727918	FLJ21986		LOC100132807
		MIR1302-1	SGCD		LOC728429
		ETNK1	GPR174		LOC644195
		OR6C74	SLC5A2		NBPF6
		LOC100129063	LOC100133896		LOC729523
		PPARG	SPTA1		LOC647054
		BCHE	PQLC2		WDR52
			PPFIA1		TTF1
			SFRS15		C15orf23
			LOC728780		SYNE1
			LRRC2		LHFPL1
			LOC100132894		LOC728163
			C7orf13		ZNRD1
			LASS4		ZFP64
			LOC648600		LOC646706
			TMEM126B		LLGL1
			FAM177B		NID1
			FXYD4		MAF1
			OR4D6		ATF4
			ERCC-00039		LOC728846
			ADAM15		SLC6A9
			GRM4		KIAA0284
			ELK1		LOC390483
			LOC647802		SLIT3
			FUS		FBXO38
			LOC730200		NUFIP2
			LOC727882		ARID4A
			SNORD114-2		LOC653514
			LOC100128511		SPNS2
			OLFML1		LOC651102
			MLKL		SRRM5
			HDAC4		ANXA1
			LOC649395		EIF3E
			LRRC47		LOC651113
			BCAP31		SFT2D3
			LOC644429		LOC644153
			ADRBK1		PTPRD
			KCNK18		IPO7
			HINFP		MYBL2
			LOC643988		ALLC
			KBTBD11		SERINC1
			SLC6A17		CDH5
			LOC654249		CCNG1
			CTSK		GKAP1
			LOC729327		LOC643873
			TOP1		LOC643047
			LOC646422		MT1JP
			FLOT2		CDH20
			TMEM141		SMAD4
			MUTYH		SMARCC1
			SLC35C1		LOC100134368
			GOLGA5		UST
			FBXO31		OR4A15
			LOC644739		LOC100134189
			SASS6		CHMP4A
			MRC2		CRY1
			EPB41L5		LOC401002
			CCDC67		USP33
			PRICKLE3		ROBO1
			STK25		C14orf121
			LOC440349		DNAJC10
			MIR1290		VCX2
			FADS6		LOC100131556
			SNORD83A		LOC652512
			LOC649186		MIR548I1
			APTX		KIFAP3
			DOHH		LOC728255
			SYMPK		KIAA0240
			LOC730063		LOC100129744
			CHIC1		SUPT16H
			SMPD3		STAP1
			LOC440291		LOC653853
			PDXP		
			LOC727773		
			REXO1L2P		
			IGBP1		
			UBC		
			ZNF673		
			KLK8		
			MAF		
			CCDC52		
			C17orf39		
			LOC732360		
			TRHR		
			LOC644093		
			LOC646795		
			MGC57359		
			LOC643757		
			LOC100130289		
			LOC642954		
			CFL2		
			BUD13		
			LOC100127919		
			LOC648217		
			LOC390564		
			BTBD7		
			LOC647310		
			GINS1		
			ERCC-00096		
			PCDHA12		
			TMEM77		
			LOC389031		
			CC2D1A		
			LOC646424		
			CDKN2BAS		
			FLJ13224		
			SSX4B		
			C19orf29OS		
			FAM149B1		
			LOC100133328		
			FLJ41200		
			LOC642155		
			CLIC1		
			DVL1		
			STK11IP		
			SELI		
			ZC3HAV1L		
			CCDC36		
			SMCR7L		
			PHTF1		
			SLED1		
			FOXO6		
			CARD10		
			LOC646050		
			TMEM87B		
			BEYLA		
			CLDN15		
			FANCE		
			CD37		
			TICAM1		
			LOC441811		
			ADIPOR2		
			LYSMD4		
			C19orf47		
			LOC100132630		
			FLJ22675		
			C6orf130		
			RAB20		
			RTP2		
			B9D2		
			AP3S2		
			LOC441632		
			DCAF10		
			TRMT61A		
			C1GALT1C1		
			LOC286157		
			OR2A14		
			LOC642005		
			LOC100134159		
			REN		
			LOC407835		
			LOC338651		
			DNAJC7		
			ProSAPiP1		
			LOC646365		
			FAM20C		
			MYO9A		
			LOC729234		
			LOC654189		
			Magmas		
			POMT1		
			FLJ41046		
			CASC1		
			DERA		
			LOC653145		
			FLJ34306		
			CNPY3		
			FAM44B		
			ANKMY1		
			ECGF1		
			FZD8		
			ZDHHC13		
			RHBG		
			LOC100130071		
			LOC100134687		
			ACACA		
			LOC730535		
			LOC652625		
			ZNF407		
			LOC646674		
			CXXC4		
			TAS2R45		
			LOC100093631		
			RCVRN		
			TECTB		
			LOC652191		
			GPR141		
			LOC642365		
			PRR22		
			LOC390880		
			FOLR2		
			ALKBH4		
			C8orf49		
			TMEM115		
			LOC100132276		
			RSPH9		
			PGCP		
			LOC100131609		
			ORAOV1		
			CYP4F12		
			WDR77		
			VPS37D		
			PLXNA4B		
			IER3		
			C21orf129		
			C6orf72		
			RGL4		
			DRD4		
			LOC650285		
			CATSPER1		
			CLASP1		
			COG2		
			TSG1		
			LOC653086		
			CHKB		
			THRA		
			VIP		
			SPIN2B		
			LOC647908		
			LOC387720		
			RNF207		
			LOC729629		
			MIR498		
			DEFB104A		
			ELSPBP1		
			FLJ42220		
			OR51B6		
			LOC728081		
			TRIM64		
			CPNE8		
			LOC648705		
			FKBP4		
			PPFIA4		
			MRPS26		
			BIRC6		
			LOC647748		
			CCIN		
			SPAG6		
			FAM172A		
			ZNF688		
			VMAC		
			SNORA28		
			PTPN20B		
			PRR3		
			KRTHB6		
			LOC645620		
			SLITRK4		
			LRRC17		
			VPS13B		
			LOC648900		
			ZMPSTE24		
			GPR114		
			SNORD50B		
			FAM174B		
			HIST1H2AD		
			RABL5		
			FGF8		
			SLC46A2		
			GPR172A		
			PAH		
			PRDX4		
			NPBWR1		
			SLC18A3		
			TEAD2		
			SIGLEC16		
			OR5B2		
			POLN		
			LOC652453		
			TDGF1		
			WIBG		
			LOC651073		
			CALML4		
			ACAD10		
			C6orf203		
			LOC651017		
			TRIM24		
			FOXC2		
			COASY		
			MIR548A2		
			PVRL2		
			TMEM91		
			LILRA2		
			CLPP		
			MIF4GD		
			LOC645843		
			EPHX1		
			HIST1H3A		
			RSC1A1		
			FAM90A10		
			DCP1B		
			LOC119358		
			HTRA1		
			IFT122		
			SSBP3		
			LOC728670		
			MYCBP		
			ANKRD30B		
			PLCB2		
			SLC30A1		
			YIF1A		
			HCCS		
			QSOX2		
			LOC652305		
			MSTO1		
			C9orf91		
			LOC286094		
			LOC402066		
			LOC402100		
			LOC100131539		
			LOC645451		
			STAB2		
			KIAA1881		
			ABTB1		
			LOC653579		
			MUC17		
			OR1D2		
			LOC402221		
			C10orf81		
			LRRC28		
			LOC440742		
			LSS		
			UCP3		
			CMTM1		
			LOC731444		
			MIR487A		
			LOC648570		
			MIR1297		
			PPM1F		
			GCH1		
			LOC653734		
			PBRM1		
			LOC441136		
			MIR574		
			C1orf101		
			LOC441931		
			TNRC6C		
			GABRB2		
			LOC643903		
			LOC648533		
			TUT1		
			RPGRIP1		
			SNORD11		
			LOC644808		
			KREMEN1		
			PCDHB12		
			LOC642712		
			FLJ37228		
			LOC650410		
			LOC440525		
			FAM100A		
			OR5AK2		
			UNC45A		
			TSPYL1		
			LOC400197		
			RGS11		
			ZNF467		
			LOC440243		
			CC2D2B		
			WDR18		
			FBXL21		
			TP53TG5		
			LOC100130880		
			OR5D18		
			LOC645263		
			LOC647806		
			ARNTL2		
			LOC151760		
			LOC729887		
			SLC12A9		
			GLDN		
			LOC441377		
			PPP6C		
			PVR		
			LOC100134372		
			SNIP1		
			FABP7		
			LOC731338		
			PRPSAP2		
			LOC730974		
			CECR6		
			ZBED5		
			STX8		
			UBFD1		
			PROCA1		
			LOC100128267		
			LOC654346		
			SEC24A		
			LOC644844		
			CD33		
			LOC100134368		
			SOX6		
			AMHR2		
			LAD1		
			LOC650058		
			LOC100131132		
			LOC647108		
			JTB		
			PLEKHM1		
			FLJ44342		
			LOC388177		
			HOXC4		
			LOC654161		
			LOC388401		
			P4HA1		
			ATG3		
			GUCY2E		
			LOC647251		
			TTTY18		
			MEX3D		
			TXNDC14		
			PEF1		
			CXorf40B		
			C14orf124		
			AGAP6		
			NR1I3		
			CBWD6		
			LOC653082		
			TMEM5		
			MBD3		
			ATP6V1C2		
			TAF7L		
			KIAA1632		
			DCLK2		
			ZIM3		
			PDE7B		
			AXIN1		
			SULT1C3		
			CELA2B		
			FRS2		
			ACSL6		
			SFT2D2		
			PSMB1		
			LOC644830		
			MORN4		
			MIR567		
			MIR302A		
			CTPS2		
			DDX31		
			CST6		
			LOC729562		
			RBPMS2		
			KLHL23		
			DCLRE1A		
			ACTL8		
			LOC388181		
			LOC653557		
			TUFT1		
			LOC646070		
			LOC100127891		
			HOXC10		
			MEMO1		
			LOC643009		
			LOC199897		
			SH3GL1		
			BTBD12		
			CIZ1		
			TCN1		
			GDF1		
			FCHSD2		
			LOC100133173		
			SAR1B		
			CD1A		
			TDRD10		
			SLC25A19		
			ASPSCR1		
			AUP1		
			FAM43A		
			LOC644291		
			E2F4		
			CDRT4		
			ZGPAT		
			ZNF490		
			NPC1		
			NMRAL1		
			ZSCAN20		
			ZMYM3		
			CHPF2		
			CCDC140		
			LHB		
			LOC642194		
			HSF1		
			KCNG4		
			LOC390251		
			SLC4A3		
			C6orf114		
			LOC729992		
			FAM129B		
			KCNRG		
			PLD6		
			LRIG1		
			LOC390712		
			SNORA53		
			FZD5		
			ZBTB7A		
			PPP1R12C		
			LOC646023		
			SLC2A4RG		
			PNLIP		
			TERF2		
			MVP		
			SNORD117		
			OAF		
			ZNF200		
			LOC653689		
			LOC284379		
			LOC728115		
			LOC651169		
			ADH1A		
			HCG22		
			BTBD6		
			CCL19		
			LOC730496		
			LOC653423		
			UCP2		
			LOC161527		
			LOC375295		
			RICH2		
			LOC730185		
			NPAS2		
			MAP3K15		
			SLC24A1		
			ELOVL6		
			FLJ10357		
			CFD		
			KCNH1		
			LOC650159		
			IFNK		
			LOC388946		
			BARHL2		
			LOC650280		
			LOC729692		
			TTLL8		
			ZBTB37		
			NCLN		
			LOC100133584		
			LOC644719		
			PAX3		
			RAB40C		
			C16orf42		
			LOC283584		
			SUV420H1		
			LOC652281		
			MGC22014		
			NOM1		
			RC3H2		
			LOC648718		
			NEXN		
			HEATR1		
			MORN5		
			3-Mar		
			LOC100128300		
			TMPRSS11F		
			LOC285620		
			NLRC5		
			MRPS22		
			HGSNAT		
			CPXCR1		
			ZMAT2		
			LOC729941		
			SIL1		
			RAB11FIP3		
			ARFGAP2		
			ADSSL1		
			MIR346		
			NUDT6		
			UNC5CL		
			OR2F1		
			ABCA3		
